feature,observation,state 0,state 1,state 2,state 3,state 4,state 5
0,1,0.15,0.14,0.54,1.0,0.52,0.33
0,2,0.52,0.56,0.28,0.0,0.29,0.45
0,3,0.22,0.21,0.15,0.0,0.15,0.17
0,4,0.11,0.09,0.03,0.0,0.04,0.05
1,0,0.0,0.0,0.0,0.73,0.0,0.0
1,1,0.0,0.0,0.27,0.26,0.26,0.0
1,2,0.0,0.0,0.73,0.01,0.64,0.14
1,3,0.39,0.0,0.0,0.0,0.1,0.86
1,4,0.61,1.0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.34,0.78,0.17,0.01
2,1,0.01,0.01,0.53,0.22,0.43,0.14
2,2,0.21,0.12,0.13,0.0,0.41,0.63
2,3,0.43,0.45,0.0,0.0,0.0,0.22
2,4,0.35,0.42,0.0,0.0,0.0,0.0
3,1,0.07,0.06,0.07,1.0,0.08,0.07
3,2,0.32,0.33,0.09,0.0,0.15,0.24
3,3,0.32,0.34,0.22,0.0,0.26,0.33
3,4,0.21,0.16,0.31,0.0,0.29,0.25
3,5,0.09,0.11,0.31,0.0,0.22,0.11
4,0,1.0,0.02,0.0,0.95,1.0,0.06
4,1,0.0,0.16,0.26,0.05,0.0,0.24
4,2,0.0,0.36,0.25,0.0,0.0,0.24
4,3,0.0,0.3,0.08,0.0,0.0,0.33
4,4,0.0,0.17,0.41,0.0,0.0,0.14
