feature,observation,state 0,state 1,state 2,state 3,state 4
0,1,1.0,0.34,0.22,0.9,0.11
0,2,0.0,0.47,0.43,0.1,0.55
0,3,0.0,0.15,0.28,0.0,0.24
0,4,0.0,0.04,0.07,0.0,0.11
1,0,1.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.04,0.6,0.0
1,2,0.0,0.09,0.93,0.39,0.0
1,3,0.0,0.86,0.03,0.01,0.0
1,4,0.0,0.05,0.0,0.0,1.0
2,0,1.0,0.0,0.2,0.35,0.0
2,1,0.0,0.09,0.49,0.56,0.0
2,2,0.0,0.61,0.31,0.1,0.09
2,3,0.0,0.3,0.0,0.0,0.42
2,4,0.0,0.0,0.0,0.0,0.49
3,1,1.0,0.08,0.0,0.24,0.05
3,2,0.0,0.25,0.09,0.13,0.33
3,3,0.0,0.33,0.29,0.16,0.33
3,4,0.0,0.24,0.39,0.17,0.17
3,5,0.0,0.09,0.23,0.31,0.11
